Date,HomeTeam,AwayTeam,KickoffTime,temperature_2m,wind_speed_10m,FTAG,FTHG,AR,HR,AY,HY,Attendance,HomeAwaySalaryRatio,HomeElo,AwayElo,HomeRank,AwayRank,HomeEloMomentum,AwayEloMomentum,HomeRankMomentum,AwayRankMomentum,HomePlayerRatingCount,HomePlayerRatingMean,HomePlayerRatingStd,AwayPlayerRatingCount,AwayPlayerRatingMean,AwayPlayerRatingStd,TeamEloWinProb,PlayerEloDrawProb,PlayerEloWinProb,HM,AM,HAG,AAG,RollingHomeAdvantage,FTR,HomeAwaySelectionsRatio
20-Jan-18,Arsenal,Crystal Palace,1500,2.1,12.3,1.0,4.0,0.0,0.0,0.0,0.0,59386,2.3562568480509056,1844.88220215,1658.75488281,6.0,11.0,0.3029541020000124,28.44150390599998,-0.4,-0.2,14.0,6.9957142857142856,0.3042018663818552,14.0,6.831428571428573,0.2552549745662487,0.7448697130306953,0.33,0.33,Arsene Wenger,Roy Hodgson,4.0,0.0,0.5,H,2.841690695796958
20-Jan-18,Man City,Newcastle,1730,1.1,6.3,1.0,3.0,0.0,0.0,1.0,0.0,54452,3.6120285531642873,1982.71252441,1623.24377441,1.0,17.0,195.3504150379999,59.64597167800002,8.0,1.4,14.0,7.407857142857142,0.3444079510329195,15.0,6.577333333333333,0.2365154446448595,0.8878801583266958,0.33,0.33,Per Guardiola,Jose Mourinho,2.25,0.0,1.0,H,10.548886937772986
20-Jan-18,West Ham,Bournemouth,1500,2.4,11.2,1.0,1.0,0.0,0.0,1.0,3.0,56948,1.624157263162917,1661.32263184,1648.10095215,10.0,13.0,14.447290040000007,12.99765625,1.8,-0.2,14.0,6.649999999999999,0.3409440674698081,15.0,6.603999999999999,0.239159639850317,0.5190183467773316,0.33,0.33,David Moyes,Eddie Howe,0.0,0.0,0.0,D,1.7477607188141695
20-Jan-18,Brighton,Chelsea,1230,7.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,30600,0.3216668748397615,1603.62023926,1918.27575684,19.0,2.0,59.15700683599994,115.496679688,3.0,4.8,12.0,6.634166666666668,0.1819092417174625,15.0,7.018666666666667,0.3586802971387688,0.1404807490441131,0.33,0.33,Chris Hughton,Antonio Conte,0.0,3.25,0.0,A,0.3567027993257501
21-Jan-18,Southampton,Tottenham,1600,9.8,15.0,1.0,1.0,0.0,0.0,3.0,2.0,31361,0.8285827267097583,1658.17736816,1917.61804199,13.0,2.0,43.59475097599998,194.47250976600003,0.6,6.6,17.0,6.566470588235295,0.2622962217769778,13.0,7.043076923076923,0.3142606614159804,0.183402882813788,0.33,0.33,Mauricio Pellegrino,Mauricio Pochettino,1.0,1.0,0.0,D,0.1455704477399104
30-Jan-18,West Ham,Crystal Palace,1945,5.9,13.2,1.0,1.0,0.0,0.0,3.0,1.0,56911,0.9972490610479936,1673.15234375,1660.9387207,10.0,13.0,24.41523437599999,65.66696777399997,3.2,0.8,14.0,6.649999999999999,0.3409440674698081,14.0,6.831428571428573,0.2552549745662487,0.5175695797090033,0.33,0.33,David Moyes,Roy Hodgson,1.0,1.0,0.0,D,0.9869245655873364
31-Jan-18,Tottenham,Man United,2000,2.7,16.7,0.0,2.0,0.0,0.0,2.0,2.0,81978,0.4931586319226231,1917.61804199,1914.02526855,2.0,3.0,151.78334960800004,137.76083984400003,5.6,3.8,13.0,7.043076923076923,0.3142606614159804,14.0,7.082857142857144,0.3108382347190663,0.5051702323155258,0.33,0.33,Mauricio Pochettino,Jose Mourinho,2.0,0.0,1.0,H,0.8433164230279842
31-Jan-18,Southampton,Brighton,1945,3.1,18.8,1.0,1.0,0.0,0.0,1.0,3.0,30034,1.7022133207986756,1663.53259277,1598.23632812,11.0,19.0,43.59475097599998,127.72622070399991,0.6,7.2,17.0,6.566470588235295,0.2622962217769778,12.0,6.634166666666668,0.1819092417174625,0.59287794317574,0.33,0.33,Mauricio Pellegrino,Chris Hughton,0.0,1.0,0.0,D,0.5827499366119392
31-Jan-18,Chelsea,Bournemouth,1945,3.2,19.2,3.0,0.0,0.0,0.0,0.0,1.0,41464,2.903203950664408,1912.27502441,1661.62695312,4.0,12.0,178.42778320399998,-53.46633300799999,8.2,-2.6,15.0,7.018666666666667,0.3586802971387688,15.0,6.603999999999999,0.239159639850317,0.8088950274842321,0.33,0.33,Antonio Conte,Eddie Howe,0.0,1.875,0.3333333333333333,A,3.942120802066675
31-Jan-18,Everton,Leicester,1945,4.1,30.6,1.0,2.0,0.0,0.0,2.0,0.0,38390,1.2802094876660342,1687.48022461,1743.78540039,8.0,7.0,70.20358886600002,62.75097656399994,1.0,3.4,14.0,6.606428571428572,0.2242959506308301,13.0,6.697692307692308,0.3139121348440782,0.4196723314971302,0.33,0.33,Sam Allardyce,Claude Puel,2.0,0.0,0.3333333333333333,H,1.03010758907913
